Gender,College,Income,Carrier,Mate,Aircon,Refrig,Parking,Freshmarket,Restaurant,Laundry,Clean_service,Rental_fee,Cost_utilities,Size,Distance,Security,Can_pet,Can_cook,Name,Rental_fee_REAL,Zone
Female,Agri_tec,Low,No,1,Not,Little,Not,Little,Little,Medium,Not,High,Medium,Little,Little,Little,Little,Little,???????? 1,Low,Nikhom
Female,Science,Low,No,1,Not,Not,Not,Medium,Little,Not,Not,High,High,Not,Medium,Not,High,Not,??????????????????,Low,Nikhom
Male,Engineering,Low,No,1,Not,Little,Not,Not,High,High,Not,High,High,Little,Medium,Medium,Not,Not,???????,Low,Kekingam
Female,Businees,Low,No,0,Medium,Not,Not,Medium,High,Medium,Not,Medium,Medium,Medium,High,High,Little,Little,FBT,Low,FBT
Male,Science,Low,Motorcycle,1,Not,Not,Not,Little,Little,Not,Not,High,High,Medium,Not,Not,Not,Not,???????????,Low,Kekingam
Male,Science,Medium,No,0,Little,Little,Little,Little,Medium,Medium,Little,High,High,High,High,Medium,Medium,High,????????????????,Low,Kekingam
Male,Industry_ed,Low,No,0,Medium,Medium,Little,High,High,High,Little,High,High,High,High,High,High,High,BK house,Low,Nikhom
Female,Engineering,Low,No,0,Not,Medium,Little,Little,Medium,Medium,Medium,High,High,High,High,Medium,Not,Medium,????????????????????,Low,Kekingam
Female,Science,Low,No,0,Medium,Little,Little,Medium,Medium,High,High,High,High,Medium,Medium,High,High,High,??????????,Low,Kekingam
Female,Liberal_art,Low,No,0,Not,Not,Not,Medium,High,High,Not,High,High,High,High,High,Not,Little,?????????????,Low,Kekingam
LGBT,Science,Low,No,0,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,?????????????,Low,Jinda
Female,Liberal_art,Low,No,0,Not,Not,Not,Not,High,High,Not,High,Medium,Not,Little,Little,Not,Not,????????????,Low,Kekingam
LGBT,Science,Medium,No,0,Little,Little,Not,Not,High,High,High,High,High,High,High,High,Not,Not,???????????,Low,Kekingam
